uuid,first_name,last_name,email_address,number_of_vists,time_spent,amount_spent,date_of_visits
2d574d1a,Sandra,Travis,rodriguezjohn@example.net,24,4.16,42.5,2008-05-24
5bb7d18a,Monica,Kathryn,gloria73@example.net,65,4.16,31.0,2017-09-28
b254ced1,Jamie,Megan,broberts@example.org,24,4.08,30.0,1983-12-15
547d7108,Lisa,Peter,jacobsonleah@example.net,15,7.44,18.5,2005-02-17
2c7c0535,Michele,Dr.,harry71@example.com,17,5.28,22.5,1979-10-23
3df6a830,Dylan,William,rmills@example.org,74,6.72,1.5,2008-03-31
e48fde05,Brian,Lori,thomasrichard@example.net,54,2.48,27.0,2020-05-21
ec0fac12,Holly,Suzanne,figueroapatricia@example.org,77,2.72,11.5,2003-09-15
6fbe9be5,Derek,James,coxjames@example.org,0,6.8,41.5,1979-04-14
8bce3cc3,Lisa,Jimmy,bmartinez@example.net,50,6.16,6.5,1985-03-19
c432214c,Carla,Lisa,tramirez@example.net,46,4.64,21.0,2015-12-25
67569722,Margaret,Jason,katelyn65@example.com,34,6.08,20.5,2013-07-13
efd3477f,Patty,Olivia,garcher@example.com,99,6.88,33.0,1980-07-13
ea1b531d,Ethan,Kristine,katrinarodriguez@example.com,34,4.96,0.0,1990-06-23
d3cde392,Tommy,Joseph,ocrawford@example.org,18,6.0,0.5,2012-10-01
29c793b3,Matthew,James,garciabrian@example.org,73,8.0,36.5,1991-02-27
587f0913,Judy,Amanda,lgregory@example.com,100,5.04,18.5,2018-12-09
cf5be71e,Justin,Lee,eric99@example.org,47,7.68,27.0,1970-06-10
c23a3b0f,Stephanie,Steve,guerreroapril@example.com,35,6.48,19.5,2003-01-01
364fcbe2,Zachary,Patrick,qharris@example.com,35,5.52,49.0,2012-06-10
cee9775d,Anthony,Alicia,iwagner@example.com,85,6.64,14.50,2016-10-20
37e55609,Rebecca,Douglas,cisnerosanthony@example.com,57,1.84,22.5,1983-08-29
b80bcadd,James,Annette,reyesleonard@example.com,31,1.84,20.5,1977-10-22
32e7f014,Tricia,William,cstevens@example.org,3,2.72,1.5,1974-07-27
81222bea,Nathan,Debra,nicole27@example.com,91,0.48,37.5,1970-01-01
c1a38526,Debra,Chelsea,larryprice@example.org,32,5.52,7.00,1980-05-31
1ce883c8,Jeffrey,Natalie,rkeller@example.net,13,1.28,45.0,2011-02-02
df1018e1,Sherri,Samantha,kalvarez@example.net,100,7.44,15.0,1978-03-28
94de6958,Cassandra,Eric,myerstroy@example.com,40,5.68,43.5,2005-05-17
9f9bc94a,Elizabeth,Samuel,katie45@example.org,64,1.2,45.5,1976-08-04
c7d51641,Brittany,Corey,garzadavid@example.com,37,3.12,8.0,1986-10-28
c84e0b13,Paula,Danielle,lisa90@example.net,6,4.96,24.5,1983-11-26
c58d73dc,Fred,Michele,oscar65@example.com,60,8.0,33.5,1977-01-19
a1a10134,Sherry,Kathy,qbell@example.org,87,3.92,3.0,2002-03-28
1e629fe3,Anthony,Andre,jimmycollins@example.org,1,0.72,42.0,1971-09-05
ed7227e1,Angelica,Cassandra,meltondanny@example.org,49,3.76,37.0,2004-06-02
b46eae18,Philip,Hannah,ryanbenjamin@example.net,52,4.88,48.0,2000-03-15
47813ec3,John,Nicole,abradley@example.com,64,2.48,38.0,1996-08-03
6375af39,Shane,James,dominguezbrianna@example.com,86,7.12,33.0,1973-10-15
cc46afd3,Joshua,Traci,uhudson@example.net,12,6.0,21.0,1978-04-16
70a510db,Eric,Megan,stokescraig@example.net,69,1.2,37.5,1990-05-30
66dd3b34,Jessica,Alejandro,matthewshaw@example.net,54,5.04,29.5,1997-07-13
23360e41,Danny,Alexa,garrett45@example.com,46,3.44,20.0,2002-12-01
e4e3d3e8,Crystal,Lindsay,tylerboone@example.org,29,3.12,18.0,1982-07-11
0e942b0a,Mark,Robert,karlwilliams@example.net,29,2.96,16.5,1985-12-27
f4efedb8,Shannon,Maria,nballard@example.net,93,5.04,6.0,2007-03-16
ce9c70cc,Michael,Gregory,robbinsbelinda@example.net,1,6.96,2.5,1987-09-18
0f9a307a,Timothy,Michael,joshua98@example.com,41,1.36,28.46,2011-09-13
fa92f686,Richard,Brian,yclark@example.org,48,3.36,26.5,2016-05-13
7952d057,Brent,Sarah,william46@example.net,28,6.32,13.5,1999-11-19
c22e12f9,John,Lisa,james64@example.net,99,4.56,46.0,2014-10-15
9f32f935,Victoria,Arthur,jpowers@example.org,64,4.24,21.5,2011-12-31
ee2e261e,Gerald,Shannon,burtonzachary@example.org,83,4.56,11.5,1978-05-21
e019332c,Connor,Stephanie,vlewis@example.com,98,1.6,27.0,1999-06-04
3e24d7cd,Donald,Ralph,sharon89@example.com,81,4.48,31.5,1979-12-14
de183137,Jessica,Rebekah,boydmichael@example.org,38,7.52,13.5,2013-04-17
6866278f,Amber,Melanie,edwardjennings@example.com,24,7.36,30.5,1971-06-23
dcf2cbb9,Tracy,Yolanda,ejenkins@example.net,52,8.0,9.5,1982-07-30
3fd8a89a,Carol,James,meghanadams@example.com,52,1.28,7.5,1979-08-23
fd645569,James,Laura,jonathanburke@example.com,15,0.96,47.5,2020-09-02
bbdc7c1f,William,Courtney,daniellee@example.org,53,0.8,34.5,2014-09-28
999cbadb,Jordan,Susan,steven86@example.com,42,3.12,39.0,1986-05-19
6f18c719,Whitney,Sarah,harrisjoseph@example.org,94,7.84,27.504,1981-08-15
872028f8,Brittney,Catherine,kristine48@example.org,100,0.96,38.0,2004-10-22
a3f2e784,Lauren,David,stuarttodd@example.org,91,3.36,16.5,2020-06-21
6c71a3d2,Amy,Catherine,heathchristopher@example.net,59,5.76,46.5,2017-08-11
96eb4703,Sarah,Brandon,michelle65@example.net,21,7.44,38.0,2007-03-15
11e82905,Angela,Elizabeth,sandersmary@example.org,30,0.8,17.5,1983-08-20
3936ef7d,Megan,David,danielnavarro@example.org,47,2.32,40.5,2002-05-27
38dfdd34,Steve,Julie,tyler13@example.net,98,5.04,13.0,2002-09-12
5feab9ed,Lisa,Terry,mejialawrence@example.net,71,6.8,26.5,1989-09-26
844cc207,Kelly,Kathryn,vshaffer@example.org,57,6.8,13.0,1989-09-12
ef71156b,Mike,Edwin,grobinson@example.org,21,5.28,6.0,2015-06-05
b41a2fa7,Michael,Brenda,taragonzales@example.com,53,6.56,50.0,1976-10-22
5234f72b,Paul,Keith,henrynicholas@example.org,18,2.16,36.0,2010-01-24
d250178a,Zachary,Eugene,amy73@example.com,73,6.08,34.0,2003-07-19
51802a52,Daniel,Katherine,michaelbaldwin@example.com,71,4.88,39.5,1994-12-31
186425a6,Shirley,Mark,brewerrebecca@example.org,79,2.56,37.5,2015-06-09
ede252f1,Christopher,Philip,vazquezkristina@example.org,3,5.52,46.5,1988-09-22
acad8bfc,Lisa,Katherine,angela45@example.net,94,6.56,15.5,1996-08-15
3f273158,Aimee,Lucas,nicholsjoel@example.com,73,1.44,44.0,1996-04-03
e6cc61ec,Matthew,Vincent,zsmith@example.com,63,2.56,37.5,2017-06-23
c4e3d732,Brian,Curtis,christopher34@example.org,69,3.44,31.5,1977-04-21
78b4bbd3,Denise,Frank,ruthwelch@example.net,8,5.6,49.5,2001-07-28
281a5cc5,Christina,Michael,rmccormick@example.org,28,2.72,47.0,1998-05-16
4680e4b0,John,Michael,aruiz@example.com,8,0.32,41.0,1998-11-29
271dc081,Anna,James,gmcdowell@example.org,65,2.88,31.0,1980-01-31
1303be15,Aaron,Rodney,william56@example.net,92,7.76,39.0,1971-11-27
e03320e7,Deborah,Nicholas,shawn00@example.net,52,2.64,4.5,1989-04-15
ecc01a34,Jessica,Stephen,crystalgibbs@example.org,62,5.36,15.0,2001-02-07
545c2508,Stephen,Steven,moralescourtney@example.com,95,4.88,38.5,1978-03-05
c738742c,Allison,Matthew,ricejennifer@example.com,74,5.28,39.0,1992-07-18
28532f92,Noah,Stephen,rachelmedina@example.net,2,7.44,6.5,1974-02-21
e1c8ed7f,Angie,Dennis,glasssamantha@example.net,4,6.48,35.0,1978-04-07
f3add280,Daniel,Derrick,lrichardson@example.org,69,0.88,10.5,2020-05-22
f9298fa3,Cristian,Mary,gnunez@example.org,59,2.0,5.5,2009-10-13
6c94dc99,Connie,Joshua,tina63@example.net,23,0.56,34.0,2015-11-23
41e7989d,Abigail,Kristen,rickjuarez@example.com,55,4.56,42.5,2004-10-05
5c4cb393,Gina,Jennifer,owensapril@example.com,79,0.56,15.0,2020-04-24
61799979,Gabrielle,Karen,janet80@example.org,29,6.32,40.0,2018-10-15
a6e5b8c7,Ryan,Blake,tristan64@example.com,75,3.76,43.5,1973-08-10
2aea9be7,Cameron,Darryl,melaniejennings@example.com,27,1.28,4.5,1996-07-02
1808417e,Rebecca,Nicholas,vmendoza@example.org,81,5.6,14.48,1970-10-01
9d1634ff,Christine,Jacob,glenn95@example.com,69,6.16,20.5,2009-07-04
74731bd3,Richard,Shawn,christopherrichardson@example.com,77,4.64,42.0,1990-08-09
f5e84449,Marc,Amber,kduffy@example.org,84,0.08,12.5,1972-04-27
aabe020f,Sharon,Martha,vaughansandra@example.net,86,4.64,17.0,2013-11-25
